GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0006413	translational initiation	32	1223	2.62%	68	6486	1.05%	YAL035W, YBR079C, YCR077C, YDL083C, YDR091C, YDR429C, YEL034W, YER025W, YER165W, YGL173C, YGR054W, YGR083C, YGR148C, YGR162W, YJL138C, YJR007W, YKR026C, YKR059W, YLR027C, YLR150W, YMR143W, YMR146C, YMR260C, YMR309C, YNL007C, YNL244C, YOL139C, YOR204W, YOR361C, YPL237W, YPR041W, YPR163C
GO:0006401	RNA catabolic process	31	1223	2.53%	159	6486	2.45%	YCR077C, YCR093W, YDL007W, YDL126C, YDL160C, YDR172W, YDR280W, YER049W, YER125W, YER165W, YFL038C, YGL014W, YGL048C, YGL173C, YJL050W, YLR264W, YLR270W, YMR116C, YMR125W, YNL016W, YNL112W, YNL135C, YNL178W, YOL012C, YOL021C, YOL064C, YOL139C, YOR167C, YOR173W, YPL190C, YPR189W
GO:0048284	organelle fusion	31	1223	2.53%	99	6486	1.53%	YBL050W, YBR080C, YBR109C, YDL126C, YDL135C, YDL192W, YDR135C, YEL013W, YFL004W, YFL005W, YFL038C, YGR209C, YGR254W, YHR138C, YHR174W, YJL012C, YJL034W, YKL196C, YKL212W, YLR043C, YML001W, YMR183C, YMR231W, YNL015W, YOR165W, YOR211C, YPL019C, YPL204W, YPL232W, YPR149W, YPR165W
GO:0007033	vacuole organization	31	1223	2.53%	103	6486	1.59%	YBL050W, YBR080C, YBR109C, YBR164C, YDL135C, YDR135C, YDR170C, YEL013W, YFL004W, YFL038C, YFL039C, YGL190C, YGR209C, YGR254W, YHR138C, YHR174W, YIL041W, YJL012C, YKL196C, YKR001C, YLR043C, YML001W, YMR231W, YNL015W, YOR089C, YOR115C, YOR326W, YPL019C, YPL204W, YPR149W, YPR165W
GO:0070925	organelle assembly	30	1223	2.45%	113	6486	1.74%	YBR080C, YBR127C, YBR160W, YBR164C, YCR002C, YCR077C, YCR093W, YDL160C, YDR170C, YDR232W, YDR328C, YEL013W, YFL037W, YFL038C, YFR004W, YGL008C, YGL190C, YGR162W, YHR107C, YIL033C, YKR001C, YKR014C, YLR180W, YLR314C, YNL016W, YNL098C, YOR089C, YOR115C, YPL203W, YPL204W
GO:0006281	DNA repair	30	1223	2.45%	267	6486	4.12%	YAR007C, YBL003C, YBR010W, YBR088C, YBR160W, YDL084W, YDL140C, YDL182W, YDR092W, YDR225W, YDR381W, YFL039C, YFR037C, YGL048C, YGL087C, YJR144W, YKL054C, YML010W, YMR039C, YMR173W, YNL031C, YNL102W, YNL290W, YNL307C, YOL004W, YOL145C, YOR141C, YOR259C, YPL127C, YPL204W
GO:0015931	nucleobase-containing compound transport	30	1223	2.45%	123	6486	1.90%	YBL030C, YBR118W, YBR245C, YDL084W, YDL198C, YDR002W, YDR335W, YDR381W, YDR395W, YER056C, YER063W, YER125W, YGL238W, YGR082W, YGR090W, YGR116W, YGR218W, YJL041W, YLL024C, YMR235C, YMR308C, YNL007C, YNL055C, YNL064C, YNR034W, YOR046C, YOR185C, YPL226W, YPR080W, YPR133C
GO:0048285	organelle fission	29	1223	2.37%	222	6486	3.42%	YAL016W, YAR007C, YBR160W, YCR002C, YDL192W, YDR155C, YDR328C, YER133W, YER177W, YFL037W, YFR004W, YGL190C, YHR039C, YJL080C, YKR001C, YLL001W, YLR113W, YML074C, YML085C, YML124C, YML128C, YMR308C, YNL088W, YNL138W, YNL307C, YOL147C, YOR198C, YPL204W, YPL218W
GO:0051726	regulation of cell cycle	28	1223	2.29%	246	6486	3.79%	YAL016W, YBL047C, YBR160W, YCR093W, YDR099W, YDR155C, YDR168W, YDR293C, YDR328C, YER133W, YER155C, YER177W, YGL173C, YGL190C, YGL207W, YGR155W, YLR113W, YML028W, YML074C, YMR039C, YMR092C, YMR308C, YNL231C, YNL307C, YOL139C, YOR198C, YPL031C, YPR165W
GO:0043934	sporulation	24	1223	1.96%	131	6486	2.02%	YBR010W, YCR002C, YDL029W, YDR099W, YDR155C, YDR516C, YEL060C, YER133W, YER177W, YFL005W, YFL039C, YGL228W, YGR032W, YHR139C, YKL096W, YMR039C, YMR079W, YMR183C, YNL031C, YNL098C, YNL202W, YNL231C, YNL307C, YPL232W
GO:0016050	vesicle organization	23	1223	1.88%	85	6486	1.31%	YBL050W, YBR080C, YDL195W, YDR177W, YEL013W, YFL005W, YFL038C, YGL200C, YIL076W, YIL109C, YKL196C, YKL212W, YKR014C, YLR208W, YMR079W, YMR183C, YMR231W, YOR089C, YPL085W, YPL204W, YPL218W, YPL232W, YPR181C
